Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url
2014,Hertha BSC,Bundesliga,Sami Allagui,TUN,"FW,MF",27,1986,29,23,1975,21.9,9,2,9,0,0,4,0,0.41,0.09,0.5,0.41,0.5,https://fbref.com/en/players/96d9f642/Sami-Allagui
2014,Inter,Serie A,Mauro Icardi,ARG,FW,20,1993,22,12,1308,14.5,9,2,9,0,0,1,0,0.62,0.14,0.76,0.62,0.76,https://fbref.com/en/players/43b78598/Mauro-Icardi
2014,Sassuolo,Serie A,Simone Zaza,ITA,FW,22,1991,33,24,2305,25.6,9,2,8,1,1,10,1,0.35,0.08,0.43,0.31,0.39,https://fbref.com/en/players/9592289a/Simone-Zaza
2015,Bayern Munich,Bundesliga,Mario Götze,GER,"FW,MF",22,1992,32,28,2239,24.9,9,2,9,0,0,1,0,0.36,0.08,0.44,0.36,0.44,https://fbref.com/en/players/9efa1d25/Mario-Gotze
2015,Lazio,Serie A,Stefano Mauri,ITA,"FW,MF",34,1980,29,25,1857,20.6,9,2,9,0,0,5,0,0.44,0.1,0.53,0.44,0.53,https://fbref.com/en/players/e3bb6738/Stefano-Mauri
2015,Stuttgart,Bundesliga,Martin Harnik,AUT,"FW,MF",27,1987,28,26,2238,24.9,9,2,9,0,0,2,2,0.36,0.08,0.44,0.36,0.44,https://fbref.com/en/players/99b7584f/Martin-Harnik
2015,Swansea City,Premier League,Wilfried Bony,CIV,FW,25,1988,20,16,1297,14.4,9,2,8,1,1,3,1,0.62,0.14,0.76,0.56,0.69,https://fbref.com/en/players/61abe9b6/Wilfried-Bony
2016,Saint-Étienne,Ligue 1,Nolan Roux,FRA,FW,27,1988,29,21,1964,21.8,9,2,8,1,1,4,0,0.41,0.09,0.5,0.37,0.46,https://fbref.com/en/players/3071a619/Nolan-Roux
2016,West Brom,Premier League,Salomón Rondón,VEN,FW,25,1989,34,30,2555,28.4,9,2,9,0,0,1,1,0.32,0.07,0.39,0.32,0.39,https://fbref.com/en/players/b318a643/Salomon-Rondon
2016,West Ham,Premier League,Andy Carroll,ENG,FW,26,1989,27,13,1440,16,9,2,8,1,1,2,0,0.56,0.12,0.69,0.5,0.62,https://fbref.com/en/players/b581987a/Andy-Carroll
2017,Chievo,Serie A,Sergio Pellissier,ITA,FW,37,1979,30,18,1730,19.2,9,2,6,3,3,1,0,0.47,0.1,0.57,0.31,0.42,https://fbref.com/en/players/878ee034/Sergio-Pellissier
2017,Freiburg,Bundesliga,Maximilian Philipp,GER,"FW,MF",22,1994,25,23,1929,21.4,9,2,9,0,1,5,0,0.42,0.09,0.51,0.42,0.51,https://fbref.com/en/players/061e8e23/Maximilian-Philipp
2017,Real Sociedad,La Liga,Carlos Vela,MEX,"FW,MF",27,1989,35,31,2545,28.3,9,2,6,3,4,6,0,0.32,0.07,0.39,0.21,0.28,https://fbref.com/en/players/e0cd04e0/Carlos-Vela
2017,Schalke 04,Bundesliga,Guido Burgstaller,AUT,FW,27,1989,18,17,1461,16.2,9,2,9,0,1,1,0,0.55,0.12,0.68,0.55,0.68,https://fbref.com/en/players/2bcc6d52/Guido-Burgstaller
2018,Atalanta,Serie A,Bryan Cristante,ITA,"MF,FW",22,1995,36,33,2824,31.4,9,2,9,0,1,4,0,0.29,0.06,0.35,0.29,0.35,https://fbref.com/en/players/16657b95/Bryan-Cristante
2018,Barcelona,La Liga,Paulinho,BRA,MF,29,1988,34,21,1945,21.6,9,2,9,0,0,2,0,0.42,0.09,0.51,0.42,0.51,https://fbref.com/en/players/bb7337cc/Paulinho
2018,Dijon,Ligue 1,Wesley Saïd,FRA,"FW,MF",22,1995,29,20,1839,20.4,9,2,9,0,0,4,0,0.44,0.1,0.54,0.44,0.54,https://fbref.com/en/players/90fcf472/Wesley-Said
2018,Hannover 96,Bundesliga,Martin Harnik,AUT,"FW,MF",30,1987,30,21,1888,21,9,2,9,0,0,2,0,0.43,0.1,0.52,0.43,0.52,https://fbref.com/en/players/99b7584f/Martin-Harnik
2018,Juventus,Serie A,Sami Khedira,GER,MF,30,1987,26,24,1912,21.2,9,2,9,0,0,1,0,0.42,0.09,0.52,0.42,0.52,https://fbref.com/en/players/38ac43d3/Sami-Khedira
2018,Marseille,Ligue 1,Morgan Sanson,FRA,MF,22,1994,33,25,2165,24.1,9,2,9,0,0,8,0,0.37,0.08,0.46,0.37,0.46,https://fbref.com/en/players/6e7f1353/Morgan-Sanson
2018,Rennes,Ligue 1,Wahbi Khazri,TUN,"FW,MF",26,1991,24,23,1918,21.3,9,2,6,3,4,8,1,0.42,0.09,0.52,0.28,0.38,https://fbref.com/en/players/2677a1de/Wahbi-Khazri
2019,Alavés,La Liga,Jonathan Calleri,ARG,FW,24,1993,34,33,2869,31.9,9,2,7,2,2,6,0,0.28,0.06,0.35,0.22,0.28,https://fbref.com/en/players/6922f806/Jonathan-Calleri
2019,Girona,La Liga,Portu,ESP,"FW,MF",26,1992,34,33,2821,31.3,9,2,8,1,1,3,0,0.29,0.06,0.35,0.26,0.32,https://fbref.com/en/players/1bda5842/Portu
2019,Leganés,La Liga,Youssef En-Nesyri,MAR,FW,21,1997,31,22,2106,23.4,9,2,9,0,0,7,0,0.38,0.09,0.47,0.38,0.47,https://fbref.com/en/players/04e17fd5/Youssef-En-Nesyri
2019,Strasbourg,Ligue 1,Lebo Mothiba,RSA,FW,22,1996,32,18,1771,19.7,9,2,8,1,1,3,0,0.46,0.1,0.56,0.41,0.51,https://fbref.com/en/players/3eaf8817/Lebo-Mothiba
2020,Amiens,Ligue 1,Sehrou Guirassy,GUI,FW,23,1996,23,23,1921,21.3,9,2,6,3,4,6,0,0.42,0.09,0.52,0.28,0.37,https://fbref.com/en/players/923f4dda/Sehrou-Guirassy
2020,Bologna,Serie A,Musa Barrow,GAM,FW,20,1998,18,14,1354,15,9,2,8,1,1,1,0,0.6,0.13,0.73,0.53,0.66,https://fbref.com/en/players/e5bf73f3/Musa-Barrow
2020,Crystal Palace,Premier League,Jordan Ayew,GHA,"FW,MF",27,1991,37,37,3148,35,9,2,9,0,0,6,0,0.26,0.06,0.31,0.26,0.31,https://fbref.com/en/players/da052c14/Jordan-Ayew
2020,Lazio,Serie A,Felipe Caicedo,ECU,FW,30,1988,30,18,1406,15.6,9,2,9,0,1,7,0,0.58,0.13,0.7,0.58,0.7,https://fbref.com/en/players/93b891d1/Felipe-Caicedo
2020,Lazio,Serie A,Joaquín Correa,ARG,"FW,MF",24,1994,30,22,2002,22.2,9,2,9,0,1,0,0,0.4,0.09,0.49,0.4,0.49,https://fbref.com/en/players/45b9b619/Joaquin-Correa
2020,Leganés,La Liga,Óscar Rodríguez Arnaiz,ESP,"MF,FW",21,1998,30,22,1914,21.3,9,2,7,2,2,6,1,0.42,0.09,0.52,0.33,0.42,https://fbref.com/en/players/19709006/Oscar-Rodriguez-Arnaiz
2020,Lyon,Ligue 1,Memphis Depay,NED,"FW,MF",25,1994,13,12,1018,11.3,9,2,8,1,1,0,0,0.8,0.18,0.97,0.71,0.88,https://fbref.com/en/players/8f696594/Memphis-Depay
2020,Osasuna,La Liga,Ezequiel Ávila,ARG,FW,25,1994,20,18,1591,17.7,9,2,9,0,0,6,0,0.51,0.11,0.62,0.51,0.62,https://fbref.com/en/players/253a06b9/Ezequiel-Avila
2020,Valencia,La Liga,Maxi Gómez,URU,FW,22,1996,33,25,2143,23.8,9,2,9,0,1,5,0,0.38,0.08,0.46,0.38,0.46,https://fbref.com/en/players/4c2e9442/Maxi-Gomez
2021,Lazio,Serie A,Luis Alberto,ESP,MF,27,1992,34,33,2618,29.1,9,2,9,0,0,5,0,0.31,0.07,0.38,0.31,0.38,https://fbref.com/en/players/5294a83f/Luis-Alberto
2010,Barcelona,La Liga,Bojan Krkić,ESP,"FW,MF",18,1990,23,11,1023,11.4,8,2,8,0,0,2,0,0.7,0.18,0.88,0.7,0.88,https://fbref.com/en/players/9fa0a0b8/Bojan-Krkic
2010,Lazio,Serie A,Sergio Floccari,ITA,FW,27,1981,17,17,1391,15.5,8,2,8,0,1,2,0,0.52,0.13,0.65,0.52,0.65,https://fbref.com/en/players/df301450/Sergio-Floccari
2010,Monaco,Ligue 1,Park Chu-young,KOR,"FW,MF",24,1985,27,26,2089,23.2,8,2,8,0,0,5,0,0.34,0.09,0.43,0.34,0.43,https://fbref.com/en/players/d9fa272a/Park-Chu-young
2010,Nancy,Ligue 1,Issiar Dia,SEN,"FW,MF",22,1987,33,28,2430,27,8,2,8,0,0,1,0,0.3,0.07,0.37,0.3,0.37,https://fbref.com/en/players/32d787c2/Issiar-Dia
2010,Portsmouth,Premier League,Aruna Dindane,CIV,FW,28,1980,19,18,1472,16.4,8,2,7,1,2,5,0,0.49,0.12,0.61,0.43,0.55,https://fbref.com/en/players/80d687ee/Aruna-Dindane
2011,Everton,Premier League,Jermaine Beckford,JAM,FW,26,1983,32,14,1327,14.7,8,2,8,0,0,3,0,0.54,0.14,0.68,0.54,0.68,https://fbref.com/en/players/393303c7/Jermaine-Beckford
2011,Getafe,La Liga,Adrián Colunga,ESP,"FW,MF",25,1984,29,22,1848,20.5,8,2,6,2,2,1,0,0.39,0.1,0.49,0.29,0.39,https://fbref.com/en/players/2212dd4e/Adrian-Colunga
2011,Hoffenheim,Bundesliga,Vedad Ibišević,BIH,FW,25,1984,31,25,2111,23.5,8,2,7,1,1,3,0,0.34,0.09,0.43,0.3,0.38,https://fbref.com/en/players/c3fd9887/Vedad-Ibisevic
2011,Levante,La Liga,Cristhian Stuani,URU,"FW,MF",23,1986,30,11,1289,14.3,8,2,8,0,0,5,0,0.56,0.14,0.7,0.56,0.7,https://fbref.com/en/players/220c11f1/Cristhian-Stuani
2012,Dijon,Ligue 1,Benjamin Corgnet,FRA,MF,24,1987,36,35,2975,33.1,8,2,8,0,0,2,0,0.24,0.06,0.3,0.24,0.3,https://fbref.com/en/players/cfd8dde3/Benjamin-Corgnet
2012,Levante,La Liga,Rubén Suárez,ESP,MF,32,1979,33,7,997,11.1,8,2,4,4,4,3,0,0.72,0.18,0.9,0.36,0.54,https://fbref.com/en/players/addc6eca/Ruben-Suarez
2012,M'Gladbach,Bundesliga,Mike Hanke,GER,FW,27,1983,31,29,2318,25.8,8,2,8,0,0,1,0,0.31,0.08,0.39,0.31,0.39,https://fbref.com/en/players/c5b438f8/Mike-Hanke
2012,QPR,Premier League,Heiðar Helguson,ISL,FW,33,1977,16,13,1153,12.8,8,2,6,2,2,2,0,0.62,0.16,0.78,0.47,0.62,https://fbref.com/en/players/5491eca5/Heidar-Helguson
2013,Newcastle Utd,Premier League,Papiss Cissé,SEN,FW,27,1985,36,35,2994,33.3,8,2,8,0,1,6,0,0.24,0.06,0.3,0.24,0.3,https://fbref.com/en/players/40f3ff51/Papiss-Cisse
2013,Valladolid,La Liga,Manucho,ANG,FW,29,1983,25,19,1648,18.3,8,2,8,0,0,4,1,0.44,0.11,0.55,0.44,0.55,https://fbref.com/en/players/89b18034/Manucho
2013,Wolfsburg,Bundesliga,Bas Dost,NED,FW,23,1989,28,20,1991,22.1,8,2,8,0,0,1,0,0.36,0.09,0.45,0.36,0.45,https://fbref.com/en/players/dc90cfbe/Bas-Dost
2014,Almería,La Liga,Rodri,ESP,FW,23,1990,27,21,1888,21,8,2,8,0,0,8,0,0.38,0.1,0.48,0.38,0.48,https://fbref.com/en/players/5200dce9/Rodri
2014,Arsenal,Premier League,Lukas Podolski,GER,"FW,MF",28,1985,20,14,1167,13,8,2,8,0,0,0,0,0.62,0.15,0.77,0.62,0.77,https://fbref.com/en/players/88f0a9a0/Lukas-Podolski
2014,Athletic Club,La Liga,Ibai Gómez,ESP,"FW,MF",23,1989,18,6,695,7.7,8,2,7,1,1,0,0,1.04,0.26,1.29,0.91,1.17,https://fbref.com/en/players/9d2a3d5f/Ibai-Gomez
2014,Bastia,Ligue 1,Gianni Bruno,BEL,"FW,MF",21,1991,31,20,1765,19.6,8,2,7,1,1,5,1,0.41,0.1,0.51,0.36,0.46,https://fbref.com/en/players/6f919f5a/Gianni-Bruno
2014,Chelsea,Premier League,Oscar,BRA,MF,21,1991,33,24,2134,23.7,8,2,8,0,0,4,0,0.34,0.08,0.42,0.34,0.42,https://fbref.com/en/players/57fe98dd/Oscar
2014,Chelsea,Premier League,André Schürrle,GER,"FW,MF",22,1990,30,15,1329,14.8,8,2,8,0,0,1,0,0.54,0.14,0.68,0.54,0.68,https://fbref.com/en/players/ecbb3fdf/Andre-Schurrle
2014,Eint Frankfurt,Bundesliga,Alexander Meier,GER,"FW,MF",30,1983,22,18,1647,18.3,8,2,7,1,1,1,0,0.44,0.11,0.55,0.38,0.49,https://fbref.com/en/players/362aa29d/Alexander-Meier
2015,Bordeaux,Ligue 1,Cheick Diabaté,MLI,FW,26,1988,15,13,1076,12,8,2,6,2,2,1,1,0.67,0.17,0.84,0.5,0.67,https://fbref.com/en/players/95cfe655/Cheick-Diabate
2015,Granada,La Liga,Youssef El-Arabi,MAR,FW,27,1987,28,24,1977,22,8,2,4,4,4,4,1,0.36,0.09,0.46,0.18,0.27,https://fbref.com/en/players/c63f6e46/Youssef-El-Arabi
2015,Lazio,Serie A,Filip Đorđević,SRB,FW,26,1987,24,15,1475,16.4,8,2,8,0,0,2,0,0.49,0.12,0.61,0.49,0.61,https://fbref.com/en/players/dfb933e0/Filip-Djordjevic
2015,Levante,La Liga,Víctor Casadesús,ESP,FW,29,1985,35,26,2436,27.1,8,2,8,0,0,6,0,0.3,0.07,0.37,0.3,0.37,https://fbref.com/en/players/73cd0a2a/Victor-Casadesus
2015,Paris S-G,Ligue 1,Ezequiel Lavezzi,ARG,"FW,MF",29,1985,31,19,1654,18.4,8,2,8,0,0,2,0,0.44,0.11,0.54,0.44,0.54,https://fbref.com/en/players/6d6456d7/Ezequiel-Lavezzi
2015,Roma,Serie A,Adem Ljajić,SRB,"FW,MF",22,1991,32,23,2016,22.4,8,2,7,1,2,2,0,0.36,0.09,0.45,0.31,0.4,https://fbref.com/en/players/2648e18f/Adem-Ljajic
2015,Sevilla,La Liga,Kévin Gameiro,FRA,FW,27,1987,26,7,960,10.7,8,2,6,2,2,0,0,0.75,0.19,0.94,0.56,0.75,https://fbref.com/en/players/42276181/Kevin-Gameiro
2015,Stoke City,Premier League,Peter Crouch,ENG,FW,33,1981,33,17,1685,18.7,8,2,8,0,0,4,0,0.43,0.11,0.53,0.43,0.53,https://fbref.com/en/players/73d9bdc7/Peter-Crouch
2015,Torino,Serie A,Maxi López,ARG,FW,30,1984,18,8,933,10.4,8,2,8,0,0,2,0,0.77,0.19,0.96,0.77,0.96,https://fbref.com/en/players/ad469944/Maxi-Lopez
2016,Chievo,Serie A,Alberto Paloschi,ITA,FW,25,1990,21,19,1668,18.5,8,2,7,1,3,1,0,0.43,0.11,0.54,0.38,0.49,https://fbref.com/en/players/b5cae4e6/Alberto-Paloschi
2016,Hamburger SV,Bundesliga,Pierre-Michel Lasogga,GER,FW,23,1991,30,21,1751,19.5,8,2,6,2,2,5,0,0.41,0.1,0.51,0.31,0.41,https://fbref.com/en/players/130444f9/Pierre-Michel-Lasogga
2016,Roma,Serie A,Stephan El Shaarawy,ITA,"FW,MF",22,1992,16,15,1191,13.2,8,2,8,0,0,0,0,0.6,0.15,0.76,0.6,0.76,https://fbref.com/en/players/d3aaad90/Stephan-El-Shaarawy
2016,Udinese,Serie A,Duván Zapata,COL,FW,24,1991,25,15,1518,16.9,8,2,8,0,0,6,0,0.47,0.12,0.59,0.47,0.59,https://fbref.com/en/players/d3de9af0/Duvan-Zapata
2016,Wolfsburg,Bundesliga,Bas Dost,NED,FW,26,1989,22,14,1364,15.2,8,2,7,1,1,0,0,0.53,0.13,0.66,0.46,0.59,https://fbref.com/en/players/dc90cfbe/Bas-Dost
2017,Chelsea,Premier League,Willian,BRA,"FW,MF",27,1988,34,15,1534,17,8,2,8,0,0,3,0,0.47,0.12,0.59,0.47,0.59,https://fbref.com/en/players/8b9ebd03/Willian
2017,Leganés,La Liga,Alexander,ARG,MF,27,1988,28,24,2031,22.6,8,2,7,1,2,1,0,0.35,0.09,0.44,0.31,0.4,https://fbref.com/en/players/3e1858af/Alexander
2017,Sporting Gijón,La Liga,Carlos Carmona,ESP,"MF,FW",29,1987,25,21,1861,20.7,8,2,8,0,0,5,0,0.39,0.1,0.48,0.39,0.48,https://fbref.com/en/players/d161184f/Carlos-Carmona
2017,West Brom,Premier League,Salomón Rondón,VEN,FW,26,1989,38,32,2891,32.1,8,2,8,0,0,2,0,0.25,0.06,0.31,0.25,0.31,https://fbref.com/en/players/b318a643/Salomon-Rondon
2017,West Ham,Premier League,Manuel Lanzini,ARG,MF,23,1993,35,31,2706,30.1,8,2,6,2,2,9,0,0.27,0.07,0.33,0.2,0.27,https://fbref.com/en/players/26f6dca8/Manuel-Lanzini
2018,Bayern Munich,Bundesliga,Sandro Wagner,GER,FW,29,1987,14,8,726,8.1,8,2,8,0,0,1,0,0.99,0.25,1.24,0.99,1.24,https://fbref.com/en/players/61b0b44d/Sandro-Wagner
2018,Bournemouth,Premier League,Callum Wilson,ENG,FW,25,1992,28,23,1981,22,8,2,8,0,0,0,0,0.36,0.09,0.45,0.36,0.45,https://fbref.com/en/players/c596fcb0/Callum-Wilson
2018,Everton,Premier League,Oumar Niasse,SEN,FW,27,1990,22,10,1087,12.1,8,2,8,0,0,2,0,0.66,0.17,0.83,0.66,0.83,https://fbref.com/en/players/af721f98/Oumar-Niasse
2018,Mainz 05,Bundesliga,Yoshinori Mutō,JPN,FW,25,1992,27,20,1904,21.2,8,2,8,0,0,2,0,0.38,0.09,0.47,0.38,0.47,https://fbref.com/en/players/5343eb4e/Yoshinori-Muto
2018,Milan,Serie A,Giacomo Bonaventura,ITA,MF,27,1989,33,30,2541,28.2,8,2,8,0,0,3,0,0.28,0.07,0.35,0.28,0.35,https://fbref.com/en/players/d995ed27/Giacomo-Bonaventura
2018,Real Sociedad,La Liga,Juanmi,ESP,"FW,MF",24,1993,30,18,1489,16.5,8,2,8,0,0,3,0,0.48,0.12,0.6,0.48,0.6,https://fbref.com/en/players/84399660/Juanmi
2018,Troyes,Ligue 1,Adama Niane,MLI,FW,24,1993,33,25,2164,24,8,2,6,2,2,6,0,0.33,0.08,0.42,0.25,0.33,https://fbref.com/en/players/1ac3b888/Adama-Niane
2019,Chelsea,Premier League,Pedro,ESP,FW,31,1987,31,21,1778,19.8,8,2,8,0,0,2,0,0.4,0.1,0.51,0.4,0.51,https://fbref.com/en/players/3ca7254a/Pedro
2019,Hertha BSC,Bundesliga,Salomon Kalou,CIV,"FW,MF",32,1985,30,27,2317,25.7,8,2,5,3,3,0,0,0.31,0.08,0.39,0.19,0.27,https://fbref.com/en/players/2042d931/Salomon-Kalou
2019,Lazio,Serie A,Felipe Caicedo,ECU,FW,29,1988,28,17,1371,15.2,8,2,7,1,1,4,0,0.53,0.13,0.66,0.46,0.59,https://fbref.com/en/players/93b891d1/Felipe-Caicedo
2019,Marseille,Ligue 1,Valère Germain,FRA,FW,28,1990,36,23,2170,24.1,8,2,8,0,0,1,0,0.33,0.08,0.41,0.33,0.41,https://fbref.com/en/players/ea0ff634/Valere-Germain
2019,Milan,Serie A,Franck Kessié,CIV,MF,21,1996,34,34,3018,33.5,8,2,5,3,3,8,0,0.24,0.06,0.3,0.15,0.21,https://fbref.com/en/players/05e19d6a/Franck-Kessie
2019,Nantes,Ligue 1,Kalifa Coulibaly,MLI,FW,26,1991,32,19,1751,19.5,8,2,7,1,1,6,1,0.41,0.1,0.51,0.36,0.46,https://fbref.com/en/players/9980269a/Kalifa-Coulibaly
2019,Nîmes,Ligue 1,Denis Bouanga,GAB,"FW,MF",23,1994,35,29,2633,29.3,8,2,8,0,0,5,0,0.27,0.07,0.34,0.27,0.34,https://fbref.com/en/players/0b0cbe5b/Denis-Bouanga
2019,Roma,Serie A,Aleksandar Kolarov,SRB,DF,32,1985,33,32,2906,32.3,8,2,5,3,3,7,1,0.25,0.06,0.31,0.15,0.22,https://fbref.com/en/players/eda40760/Aleksandar-Kolarov
2020,Barcelona,La Liga,Arturo Vidal,CHI,MF,32,1987,33,16,1671,18.6,8,2,8,0,0,4,0,0.43,0.11,0.54,0.43,0.54,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
2020,Dortmund,Bundesliga,Raphaël Guerreiro,POR,DF,25,1993,29,26,2335,25.9,8,2,8,0,0,3,0,0.31,0.08,0.39,0.31,0.39,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
2020,Eint Frankfurt,Bundesliga,Bas Dost,NED,FW,30,1989,24,16,1475,16.4,8,2,8,0,0,2,0,0.49,0.12,0.61,0.49,0.61,https://fbref.com/en/players/dc90cfbe/Bas-Dost
2020,Freiburg,Bundesliga,Lucas Höler,GER,"FW,MF",25,1994,34,28,2485,27.6,8,2,8,0,1,4,0,0.29,0.07,0.36,0.29,0.36,https://fbref.com/en/players/ca618d23/Lucas-Holer
2020,Levante,La Liga,Borja Mayoral,ESP,FW,22,1997,34,24,2140,23.8,8,2,8,0,0,2,0,0.34,0.08,0.42,0.34,0.42,https://fbref.com/en/players/64e8ed6d/Borja-Mayoral
2020,Osasuna,La Liga,Rubén García,ESP,"MF,FW",26,1993,30,25,2188,24.3,8,2,7,1,1,6,0,0.33,0.08,0.41,0.29,0.37,https://fbref.com/en/players/5c96b017/Ruben-Garcia
2020,Udinese,Serie A,Stefano Okaka,ITA,FW,29,1989,33,28,2415,26.8,8,2,8,0,0,10,0,0.3,0.07,0.37,0.3,0.37,https://fbref.com/en/players/601ef102/Stefano-Okaka
2020,Valladolid,La Liga,Sergi Guardiola,ESP,FW,28,1991,35,31,2655,29.5,8,2,8,0,1,6,0,0.27,0.07,0.34,0.27,0.34,https://fbref.com/en/players/32974271/Sergi-Guardiola
2020,Werder Bremen,Bundesliga,Yuya Osako,JPN,"FW,MF",29,1990,28,22,1848,20.5,8,2,8,0,0,2,0,0.39,0.1,0.49,0.39,0.49,https://fbref.com/en/players/f69fba57/Yuya-Osako
2021,Benevento,Serie A,Gianluca Lapadula,PER,FW,30,1990,37,29,2563,28.5,8,2,8,0,1,2,0,0.28,0.07,0.35,0.28,0.35,https://fbref.com/en/players/2ead2809/Gianluca-Lapadula
2021,Brighton,Premier League,Neal Maupay,FRA,"FW,MF",23,1996,33,29,2512,27.9,8,2,5,3,4,1,1,0.29,0.07,0.36,0.18,0.25,https://fbref.com/en/players/4bcf39f6/Neal-Maupay
2021,Genoa,Serie A,Gianluca Scamacca,ITA,FW,21,1999,26,13,1352,15,8,2,6,2,2,1,0,0.53,0.13,0.67,0.4,0.53,https://fbref.com/en/players/8790f988/Gianluca-Scamacca
2021,Granada,La Liga,Jorge Molina,ESP,"FW,MF",38,1982,33,17,1615,17.9,8,2,8,0,1,3,0,0.45,0.11,0.56,0.45,0.56,https://fbref.com/en/players/43f71e77/Jorge-Molina
2021,Leeds United,Premier League,Stuart Dallas,NIR,"DF,MF",29,1991,38,38,3409,37.9,8,2,8,0,0,7,0,0.21,0.05,0.26,0.21,0.26,https://fbref.com/en/players/67ca8566/Stuart-Dallas
2010,Almería,La Liga,Fernando Soriano,ESP,MF,29,1979,35,33,2864,31.8,7,2,7,0,0,12,0,0.22,0.06,0.28,0.22,0.28,https://fbref.com/en/players/1aa72854/Fernando-Soriano
2010,Atalanta,Serie A,Jaime Valdés,CHI,"FW,MF",28,1981,33,25,2206,24.5,7,2,5,2,3,5,1,0.29,0.08,0.37,0.2,0.29,https://fbref.com/en/players/77e6776f/Jaime-Valdes
2010,Hoffenheim,Bundesliga,Chinedu Obasi,NGA,FW,23,1986,23,21,1736,19.3,7,2,7,0,0,3,0,0.36,0.1,0.47,0.36,0.47,https://fbref.com/en/players/be26f25e/Chinedu-Obasi
2010,Schalke 04,Bundesliga,Ivan Rakitić,CRO,MF,21,1988,29,25,2121,23.6,7,2,4,3,3,3,0,0.3,0.08,0.38,0.17,0.25,https://fbref.com/en/players/89f951b5/Ivan-Rakitic
2010,Toulouse,Ligue 1,Moussa Sissoko,FRA,MF,19,1989,37,35,3193,35.5,7,2,7,0,0,4,0,0.2,0.06,0.25,0.2,0.25,https://fbref.com/en/players/2acd49b9/Moussa-Sissoko
2011,Getafe,La Liga,Miku,VEN,FW,24,1985,31,24,2188,24.3,7,2,6,1,1,6,0,0.29,0.08,0.37,0.25,0.33,https://fbref.com/en/players/4eba9598/Miku
2011,Hamburger SV,Bundesliga,Ruud van Nistelrooy,NED,FW,34,1976,25,19,1787,19.9,7,2,6,1,1,5,0,0.35,0.1,0.45,0.3,0.4,https://fbref.com/en/players/80a30989/Ruud-van-Nistelrooy
2011,Leverkusen,Bundesliga,Stefan Kießling,GER,"FW,MF",26,1984,22,15,1346,15,7,2,7,0,0,3,0,0.47,0.13,0.6,0.47,0.6,https://fbref.com/en/players/c419e035/Stefan-Kiessling
2011,M'Gladbach,Bundesliga,Igor de Camargo,BEL,"FW,MF",27,1983,19,14,1194,13.3,7,2,7,0,0,1,1,0.53,0.15,0.68,0.53,0.68,https://fbref.com/en/players/341a40ef/Igor-de-Camargo
2011,Parma,Serie A,Amauri,ITA,FW,30,1980,11,11,916,10.2,7,2,7,0,0,2,0,0.69,0.2,0.88,0.69,0.88,https://fbref.com/en/players/b6d4bf9d/Amauri
2011,Real Sociedad,La Liga,Antoine Griezmann,FRA,"FW,MF",19,1991,37,34,2832,31.5,7,2,7,0,0,7,0,0.22,0.06,0.29,0.22,0.29,https://fbref.com/en/players/df69b544/Antoine-Griezmann
2011,Saint-Étienne,Ligue 1,Bakary Sako,MLI,MF,22,1988,38,32,2732,30.4,7,2,5,2,2,2,0,0.23,0.07,0.3,0.16,0.23,https://fbref.com/en/players/381d7d54/Bakary-Sako
2012,Atlético Madrid,La Liga,Adrián López,ESP,FW,23,1988,36,27,2504,27.8,7,2,7,0,0,3,0,0.25,0.07,0.32,0.25,0.32,https://fbref.com/en/players/88a359d4/Adrian-Lopez
2012,Betis,La Liga,Roque Santa Cruz,PAR,FW,29,1981,33,20,1964,21.8,7,2,7,0,0,2,0,0.32,0.09,0.41,0.32,0.41,https://fbref.com/en/players/7f2107eb/Roque-Santa-Cruz
2012,Caen,Ligue 1,Benjamin Nivet,FRA,MF,34,1977,33,13,1531,17,7,2,3,4,4,2,2,0.41,0.12,0.53,0.18,0.29,https://fbref.com/en/players/1ec4e202/Benjamin-Nivet
2012,Catania,Serie A,Gonzalo Bergessio,ARG,FW,27,1984,34,30,2565,28.5,7,2,7,0,0,2,0,0.25,0.07,0.32,0.25,0.32,https://fbref.com/en/players/da001952/Gonzalo-Bergessio
2012,Dortmund,Bundesliga,Ivan Perišić,CRO,"DF,FW",22,1989,28,8,974,10.8,7,2,7,0,0,2,1,0.65,0.18,0.83,0.65,0.83,https://fbref.com/en/players/6fe90922/Ivan-Perisic
2012,Leverkusen,Bundesliga,Eren Derdiyok,SUI,FW,23,1988,25,11,1221,13.6,7,2,7,0,0,3,0,0.52,0.15,0.66,0.52,0.66,https://fbref.com/en/players/4e133a88/Eren-Derdiyok
2012,Mainz 05,Bundesliga,Mohamed Zidan,EGY,FW,29,1981,12,11,898,10,7,2,7,0,0,0,0,0.7,0.2,0.9,0.7,0.9,https://fbref.com/en/players/858ecfad/Mohamed-Zidan
2012,Montpellier,Ligue 1,John Utaka,NGA,"FW,MF",29,1982,35,34,2960,32.9,7,2,7,0,0,4,0,0.21,0.06,0.27,0.21,0.27,https://fbref.com/en/players/8f0d78f4/John-Utaka
