Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,Url
2016,Barcelona,La Liga,Luis Suárez,URU,FW,28,1987,35,35,3150,35,40,17,37,3,5,7,0,1.14,0.49,1.63,1.06,1.54,https://fbref.com/en/players/a6154613/Luis-Suarez
2015,Marseille,Ligue 1,Dimitri Payet,FRA,"FW,MF",27,1987,36,35,3051,33.9,7,17,7,0,0,3,0,0.21,0.5,0.71,0.21,0.71,https://fbref.com/en/players/58ae47b2/Dimitri-Payet
2017,Manchester City,Premier League,Kevin De Bruyne,BEL,MF,25,1991,36,33,2877,32,6,17,6,0,1,4,0,0.19,0.53,0.72,0.19,0.72,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
2012,Barcelona,La Liga,Lionel Messi,ARG,"FW,MF",24,1987,37,36,3270,36.3,50,16,40,10,11,6,0,1.38,0.44,1.82,1.1,1.54,https://fbref.com/en/players/d70ce98e/Lionel-Messi
2015,Real Madrid,La Liga,Cristiano Ronaldo,POR,"FW,MF",29,1985,35,35,3100,34.4,48,16,38,10,12,5,1,1.39,0.46,1.86,1.1,1.57,https://fbref.com/en/players/dea698d9/Cristiano-Ronaldo
2020,Dortmund,Bundesliga,Jadon Sancho,ENG,"FW,MF",19,2000,32,25,2287,25.4,17,16,17,0,0,2,0,0.67,0.63,1.3,0.67,1.3,https://fbref.com/en/players/dbf053da/Jadon-Sancho
2018,Manchester City,Premier League,Kevin De Bruyne,BEL,MF,26,1991,37,36,3073,34.1,8,16,8,0,0,2,0,0.23,0.47,0.7,0.23,0.7,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne
2020,Atalanta,Serie A,Papu Gómez,ARG,"MF,FW",31,1988,36,34,2842,31.6,7,16,7,0,0,2,0,0.22,0.51,0.73,0.22,0.73,https://fbref.com/en/players/6e4df551/Papu-Gomez
2011,Real Madrid,La Liga,Mesut Özil,GER,MF,21,1988,36,30,2523,28,6,16,6,0,0,2,0,0.21,0.57,0.78,0.21,0.78,https://fbref.com/en/players/16380240/Mesut-Ozil
2012,Lille,Ligue 1,Eden Hazard,BEL,"FW,MF",20,1991,38,35,3207,35.6,20,15,11,9,9,2,0,0.56,0.42,0.98,0.31,0.73,https://fbref.com/en/players/a39bb753/Eden-Hazard
